r,p,rho,p_spearman,ci_lo,ci_hi,n,r_squared,slope,intercept,se_slope,price_type,lag_quarters
0.8567108125369297,6.809634176328712e-12,0.8756975599080862,6.20257227926143e-13,0.7395811124066287,0.9234760644190103,38,0.7339534163176863,2.6197509769981147,1534.0697333536714,0.26287746355251723,HRC US,0
0.6353031806545336,1.393302191437414e-05,0.6785425101214575,2.061249435879759e-06,0.3999571308506957,0.7920538421878803,39,0.403610131349767,1.955766708310883,2059.485343108987,0.3908411532198225,HRC US,1
0.38267055149542945,0.01480809432804649,0.46097560975609764,0.0027572134772556626,0.0807920562992839,0.6202434930622874,40,0.1464367509818161,1.1786676163630785,2682.305974784854,0.461628235822503,HRC US,2
0.1704107463605715,0.2931162300433772,0.30938086303939966,0.052063686654088455,-0.14900865882376454,0.45762716736532805,40,0.02903982247516703,0.5334634485888968,3205.9580320391433,0.5003991927840973,HRC US,3
0.894909424718274,3.555780258469839e-14,0.9034905350694824,8.25056825448402e-15,0.80573766166973,0.9444090239649916,38,0.800862878449592,2.420191923493717,1160.9152908636083,0.20113867629936286,CRC US,0
0.7207013807716126,2.291886960530522e-07,0.7271255060728746,1.5836618495692818e-07,0.5244382083527017,0.8442429987698948,39,0.5194104802461089,1.9623487973335962,1618.3706576329532,0.31031811984356145,CRC US,1
0.4908722558952285,0.0012999177843769983,0.5213883677298312,0.0005607862163489554,0.21174040717890394,0.6959612652369808,40,0.24095557160767067,1.3377481797419557,2254.9623647316694,0.38516576845572503,CRC US,2
0.2834698491853855,0.0763066986689376,0.38893058161350846,0.013125876053147686,-0.030755300741765967,0.5467033724445319,40,0.08035515539718519,0.7881364235324892,2818.610273878091,0.4325265768711506,CRC US,3
0.9283364345690666,6.4402737898226295e-18,0.8770580243243055,1.1570215241166202e-13,0.8677750198077732,0.9617280091606301,40,0.8618085357484068,4.433892351602739,928.1898116955854,0.2880239222559235,HRC EU,0
0.745745302195967,3.357826061980558e-08,0.7390590561158283,5.154326937109455e-08,0.5656372351497856,0.8579477074574086,40,0.5561360557473541,3.6034459473205716,1420.023175410567,0.5222285627346812,HRC EU,1
0.5624160810552088,0.00015864004254285597,0.5701956007961417,0.00012250876693277086,0.30420233183208506,0.7436410960027149,40,0.3163118482294992,2.756260394265951,1927.1858435963534,0.6573546558424542,HRC EU,2
0.3960461663149883,0.011413421599526546,0.41287114825663374,0.008104021460442371,0.0964340922080096,0.6298496515322856,40,0.15685256585279936,1.9706189472583604,2409.25868993911,0.741168244287648,HRC EU,3
0.7874490956450363,7.384858689152311e-09,0.9241894391197845,3.378056244736577e-16,0.6221778166180632,0.8855271875771761,37,0.6200760782321855,0.9460809397284314,1976.9301074652226,0.12517572115155676,OCTG US,0
0.8292707632614479,1.257683158226519e-10,0.8571428584258179,6.473398318170368e-12,0.6934143738512027,0.9081894168183919,38,0.6876899988002243,1.0040803653097725,1841.9683991900006,0.11277525454304942,OCTG US,1
0.8367058578043186,3.253631269106997e-11,0.7587428523305799,2.1830692370667295e-08,0.7081321211189634,0.9115723882849897,39,0.7000766924840607,1.017749104448669,1787.404603702987,0.1095146364398796,OCTG US,2
0.7817523121566954,2.6037468070467653e-09,0.6430883256758064,7.635819371968162e-06,0.6216224138983124,0.8791647005318236,40,0.6111366775623392,0.9520932848081278,1894.6590065909324,0.1232017907989823,OCTG US,3
