r,p,rho,p_spearman,ci_lo,ci_hi,n,r_squared,slope,intercept,se_slope,segment,metric,benchmark
0.8455464105260009,0.07115480161788755,0.7999999999999999,0.10408803866182788,-0.14456540065184845,0.989585107552399,5,0.7149487323534044,4.399312029668638,4142.748513340336,1.6037924955254443,Flat-Rolled,Revenue,CRC US
0.9562887945652714,0.010898201738215861,0.8999999999999998,0.03738607346849874,0.4735961464872255,0.9972087257827956,5,0.9144882586110998,0.0002712470225430279,-0.1843928489921132,4.7888161123924525e-05,Flat-Rolled,EBITDA Margin,CRC US
0.8940523222361192,0.040732959188833316,0.7999999999999999,0.10408803866182788,0.055802412164121226,0.9930268044735038,5,0.7993295548957975,0.5490138264068536,463.9849889689734,0.15881862289130622,Flat-Rolled,Rev/Ton,CRC US
0.8935856792811999,0.04099939179533382,0.7999999999999999,0.10408803866182788,0.053488743858404436,0.9929944788991902,5,0.7984953662164435,0.5486606501239983,464.545901034905,0.15912906284161946,Flat-Rolled,Realized Price,CRC US
0.7266030411380051,0.16438383776824275,0.8999999999999998,0.03738607346849874,-0.4336721639536899,0.9803858171988321,5,0.5279519793909976,1.8963436293153944,855.4893187965263,1.0352668048265505,Mini Mill,Revenue,HRC US
0.9363173758314114,0.019106127621911623,0.9999999999999999,1.4042654220543672e-24,0.310783005963403,0.995894168230019,5,0.8766902282838205,0.0002649043033647182,-0.0499934055583707,5.7359327388963064e-05,Mini Mill,EBITDA Margin,HRC US
0.7751990558092906,0.12354226350787847,0.8999999999999998,0.03738607346849874,-0.3387480031070503,0.9842828468803212,5,0.6009335761276157,0.7109429524316193,419.7627170724709,0.3344902673175145,Mini Mill,Rev/Ton,HRC US
0.7749676529684061,0.12372842891036558,0.8999999999999998,0.03738607346849874,-0.3392609931018179,0.9842647604184861,5,0.6005748631473599,0.7109096444760248,419.6927194538939,0.33472480679036304,Mini Mill,Realized Price,HRC US
0.9281815174614004,0.02285354075474012,0.8999999999999998,0.03738607346849874,0.25353921147782543,0.9953513492271494,5,0.861520929356948,3.4670885857121667,995.0214280094942,0.8025340444675996,USSE,Revenue,HRC EU
0.9381779336290175,0.018280172219374387,0.9999999999999999,1.4042654220543672e-24,0.3245440361907695,0.9960177043935218,5,0.8801778351484131,0.000346407729384701,-0.19506276718449422,7.37921753824631e-05,USSE,EBITDA Margin,HRC EU
0.9534186099032491,0.011983799692681705,0.8999999999999998,0.03738607346849874,0.44797480875488327,0.9970213528097924,5,0.9090070457098439,0.8572827387265791,283.5598610727369,0.15659709816574224,USSE,Rev/Ton,HRC EU
0.9534639499386859,0.011966389937411575,0.8999999999999998,0.03738607346849874,0.44837319412810633,0.9970243167294577,5,0.909093503832681,0.8581669383511206,283.0635665087484,0.1566766704893367,USSE,Realized Price,HRC EU
0.8567392232635553,0.06367440968053657,0.7999999999999999,0.10408803866182788,-0.10456493656183438,0.9903941740192903,5,0.7340020966782401,0.7252021429125503,176.41754905600237,0.2520512803241414,Tubular,Revenue,OCTG US
0.9033036082982949,0.03556703568870688,0.9999999999999999,1.4042654220543672e-24,0.10360819111493244,0.9936646074463715,5,0.8159574087647194,0.0001833222490745681,-0.30965704605782896,5.026665360392826e-05,Tubular,EBITDA Margin,OCTG US
0.8314683103489134,0.08092093212854973,0.8999999999999998,0.03738607346849874,-0.1906668500656498,0.98855439182952,5,0.6913395511144771,0.6960764081351559,714.3136339410873,0.26852892752712837,Tubular,Rev/Ton,OCTG US
0.8313279455984451,0.08102024161864063,0.8999999999999998,0.03738607346849874,-0.19110486895941386,0.9885440407785202,5,0.6911061531329313,0.6960599209126075,714.4429413730463,0.2686694271264482,Tubular,Realized Price,OCTG US
