indicator,pre_covid_r,post_covid_r,sign_flip,magnitude_change,stable
Auto Production,-0.3226549284066959,-0.03151987933934703,False,0.2911350490673489,True
Auto Sales,-0.07096024668163244,-0.075066363633478,False,0.004106116951845568,True
Housing Starts,-0.016443097457838077,-0.11025477989632786,False,0.09381168243848978,True
ISM PMI,-0.10599501253202558,-0.504224619269404,False,0.3982296067373784,True
WTI Crude,0.03570751642206134,0.7748479078573289,False,0.7391403914352676,False
Rig Count,0.5713961978089249,0.7816666715420204,False,0.2102704737330955,True
Scrap PPI,0.022648783230198713,0.11135407940328781,False,0.0887052961730891,True
Industrial Production,0.47238909851476185,0.5798597775774411,False,0.10747067906267926,True
Mfg Industrial Prod,0.08279411991427335,0.3827901355072565,False,0.29999601559298317,True
Non-Res Construction,0.26640318769181043,0.5828656293787573,False,0.31646244168694687,True
Durable Goods Orders,0.15502270562845813,0.7245517849058053,False,0.5695290792773472,False
Building Permits,0.1346221115621361,-0.09972664574105304,True,0.23434875730318916,False
Real GDP,0.33766475431961,0.6249990807288325,False,0.28733432640922246,True
Steel Capacity Util,0.25839280544406606,0.14183502749965426,False,0.1165577779444118,True
Steel Import Price,0.3428263283992965,0.5229357562995964,False,0.18010942790029993,True
Trade Balance (Goods),-0.5052723574386271,-0.3781004261329344,False,0.1271719313056927,True
