quarter,datadate,fiscal_year,fiscal_quarter,revenue,ebitda,net_income,cash,long_term_debt,short_term_debt,total_assets,shares_outstanding,stock_price
2015Q1,2015-03-31,2015,1,3272.0,104.0,-75.0,1267.0,3124.0,378.0,11544.0,145.671,24.4
2015Q2,2015-06-30,2015,2,2900.0,1.0,-261.0,1216.0,3124.0,362.0,11213.0,146.235,20.62
2015Q3,2015-09-30,2015,3,2830.0,77.0,-173.0,1170.0,3127.0,362.0,11191.0,146.273,10.42
2015Q4,2015-12-31,2015,4,2572.0,-164.0,-1133.0,755.0,3116.0,45.0,9190.0,146.281,7.98
2016Q1,2016-03-31,2016,1,2341.0,-149.0,-340.0,705.0,3076.0,45.0,8936.0,146.422,16.05
2016Q2,2016-06-30,2016,2,2584.0,106.0,-46.0,820.0,3058.0,82.0,8941.0,146.714,16.86
2016Q3,2016-09-30,2016,3,2686.0,253.0,51.0,1445.0,2988.0,92.0,9467.0,172.458,18.86
2016Q4,2016-12-31,2016,4,2650.0,171.0,-105.0,1515.0,2981.0,50.0,9160.0,173.811,33.01
2017Q1,2017-03-31,2017,1,2725.0,85.0,-180.0,1326.0,2752.0,281.0,9186.0,174.638,33.81
2017Q2,2017-06-30,2017,2,3144.0,354.0,261.0,1522.0,2752.0,175.0,9580.0,174.904,22.14
2017Q3,2017-09-30,2017,3,3248.0,345.0,147.0,1694.0,2896.0,3.0,9878.0,174.958,25.66
2017Q4,2017-12-31,2017,4,3133.0,288.0,159.0,1559.0,2700.0,3.0,9862.0,175.221,35.19
2018Q1,2018-03-31,2018,1,3149.0,263.0,18.0,1378.0,2571.0,281.0,10026.0,176.76,35.19
2018Q2,2018-06-30,2018,2,3609.0,396.0,214.0,1236.0,2541.0,4.0,10058.0,177.149,34.75
2018Q3,2018-09-30,2018,3,3729.0,476.0,291.0,1348.0,2498.0,4.0,10569.0,177.258,30.48
2018Q4,2018-12-31,2018,4,3691.0,402.0,592.0,1003.0,2316.0,65.0,10982.0,174.529,18.24
2019Q1,2019-03-31,2019,1,3499.0,249.0,54.0,678.0,2511.0,119.0,11152.0,172.857,19.49
2019Q2,2019-06-30,2019,2,3545.0,236.0,68.0,652.0,2533.0,124.0,11291.0,171.356,15.31
2019Q3,2019-09-30,2019,3,3069.0,104.0,-84.0,476.0,2689.0,123.0,10917.0,170.038,11.55
2019Q4,2019-12-31,2019,4,2824.0,-23.0,-668.0,751.0,3804.0,74.0,11608.0,170.046,11.41
2020Q1,2020-03-31,2020,1,2748.0,71.0,-391.0,1354.0,4809.0,159.0,12366.0,170.375,6.31
2020Q2,2020-06-30,2020,2,2091.0,-245.0,-589.0,2301.0,5690.0,152.0,12551.0,220.391,7.22
2020Q3,2020-09-30,2020,3,2340.0,-20.0,-234.0,1698.0,4802.0,322.0,11731.0,220.404,7.34
2020Q4,2020-12-31,2020,4,2562.0,103.0,49.0,1988.0,4858.0,251.0,12059.0,220.432,16.77
2021Q1,2021-03-31,2021,1,3664.0,488.0,91.0,760.0,5948.0,103.0,14689.0,269.651,26.17
2021Q2,2021-06-30,2021,2,5025.0,1241.0,1012.0,1376.0,4948.0,819.0,16084.0,270.124,24.0
2021Q3,2021-09-30,2021,3,5964.0,1975.0,2002.0,2061.0,4420.0,121.0,17333.0,270.217,21.97
2021Q4,2021-12-31,2021,4,5622.0,1612.0,1069.0,2524.0,3999.0,86.0,17816.0,263.813,23.81
2022Q1,2022-03-31,2022,1,5234.0,1294.0,882.0,2883.0,4044.0,116.0,19224.0,260.691,37.74
2022Q2,2022-06-30,2022,2,6290.0,1517.0,978.0,3035.0,3988.0,107.0,19858.0,243.378,17.91
2022Q3,2022-09-30,2022,3,5203.0,749.0,490.0,3364.0,3975.0,110.0,19958.0,234.269,18.12
2022Q4,2022-12-31,2022,4,4338.0,306.0,174.0,3508.0,4019.0,112.0,19458.0,228.398,25.05
2023Q1,2023-03-31,2023,1,4470.0,418.0,199.0,2841.0,3996.0,139.0,19540.0,227.113,26.1
2023Q2,2023-06-30,2023,2,5008.0,744.0,477.0,3085.0,4243.0,146.0,20309.0,223.909,25.01
2023Q3,2023-09-30,2023,3,4431.0,491.0,299.0,3227.0,4208.0,143.0,20395.0,223.03,32.48
2023Q4,2023-12-31,2023,4,4144.0,175.0,-80.0,2956.0,4153.0,186.0,20451.0,223.671,48.65
2024Q1,2024-03-31,2024,1,4160.0,399.0,171.0,2230.0,4147.0,200.0,20448.0,224.833,40.78
2024Q2,2024-06-30,2024,2,4118.0,402.0,183.0,2041.0,4136.0,202.0,20416.0,224.956,37.8
2024Q3,2024-09-30,2024,3,3853.0,319.0,119.0,1783.0,4119.0,201.0,20633.0,225.166,35.33
2024Q4,2024-12-31,2024,4,3509.0,115.0,-89.0,1378.0,4122.0,130.0,20235.0,225.18,33.99
