datadate,fyear,company_name,ticker,revenue,ebitda,operating_income,net_income,total_assets,total_liabilities,stockholders_equity,capx,operating_cf,long_term_debt,current_debt,cash,shares_outstanding,stock_price,total_debt,net_debt,ebitda_margin_pct,capex_pct_rev,debt_to_ebitda,market_cap,ev,ev_to_ebitda
2017-12-31,2017,STEEL DYNAMICS INC,STLD,9538.797,1359.774,1066.881,812.741,6855.732,3549.424,3351.574,164.935,739.606,2353.145,28.795,1028.649,237.397,43.13,2381.94,1353.2910000000002,14.3,1.7,1.75,10238.93261,11592.223610000001,8.53
2017-12-31,2017,STEEL DYNAMICS INC,STLD,,,,812.741,6855.732,,3351.574,164.935,,2353.145,,,,43.13,2353.145,2353.145,,,,,,
2018-12-31,2018,STEEL DYNAMICS INC,STLD,11821.839,2033.489,1722.409,1258.379,7703.563,3816.334,3935.071,239.39,1415.469,2352.489,24.234,1057.003,225.272,30.04,2376.723,1319.72,17.2,2.0,1.17,6767.17088,8086.89088,3.98
2018-12-31,2018,STEEL DYNAMICS INC,STLD,,,,1258.379,7703.563,,3935.071,239.39,,2352.489,,,,30.04,2352.489,2352.489,,,,,,
2019-12-31,2019,STEEL DYNAMICS INC,STLD,10464.991,1302.057,986.88,671.103,8275.765,4210.91,4075.834,451.945,1396.29,2702.885,106.888,1643.634,214.503,34.04,2809.773,1166.1390000000001,12.4,4.3,2.16,7301.6821199999995,8467.82112,6.5
2019-12-31,2019,STEEL DYNAMICS INC,STLD,,,,671.103,8275.765,,4075.834,451.945,,2702.885,,,,34.04,2702.885,2702.885,,,,,,
2020-12-31,2020,STEEL DYNAMICS INC,STLD,9601.482,1186.05,866.551,550.822,9265.562,4917.336,4345.164,1198.055,987.032,3088.396,104.596,1368.618,210.914,36.87,3192.992,1824.3740000000003,12.4,12.5,2.69,7776.399179999999,9600.77318,8.09
2020-12-31,2020,STEEL DYNAMICS INC,STLD,,,,550.822,9265.562,,4345.164,1198.055,,3088.396,,,,36.87,3088.396,3088.396,,,,,,
2021-12-31,2021,STEEL DYNAMICS INC,STLD,18408.85,4661.337,4320.705,3214.066,12531.234,6211.063,6304.641,1006.239,2204.136,3090.954,114.996,1243.868,194.998,62.07,3205.9500000000003,1962.0820000000003,25.3,5.5,0.69,12103.52586,14065.60786,3.02
2021-12-31,2021,STEEL DYNAMICS INC,STLD,,,,3214.066,12531.234,,6304.641,1006.239,,3090.954,,,,62.07,3090.954,3090.954,,,,,,
