,HRC US,CRC US,OCTG US,HRC EU,Scrap,Capacity,WTI,Auto Prod,Housing,ISM PMI
HRC US,1.0,0.9696756965604891,0.4978557121519224,0.891359858338821,0.8995709969910374,0.5563255946279376,0.47845327343770183,-0.5693994223327523,0.6318136630092495,0.4844084198844544
CRC US,0.9696756965604891,1.0,0.5720949378261971,0.9260073527115251,0.8784875129624098,0.5330333036872048,0.5756116697222906,-0.6297894668863192,0.7356288578529717,0.40107210320566755
OCTG US,0.4978557121519224,0.5720949378261971,1.0,0.6635587885510389,0.6762818783392319,0.3642881332120444,0.7288289402507373,-0.5965093637468328,0.5167977889419336,-0.1274645947220669
HRC EU,0.891359858338821,0.9260073527115251,0.6635587885510389,1.0,0.8516940311654205,0.317213899347229,0.5978632497748632,-0.6916962064468055,0.6683639714750264,0.22935117910489236
Scrap,0.8995709969910374,0.8784875129624098,0.6762818783392319,0.8516940311654205,1.0,-0.0813963175548702,0.7887205636113211,-0.622540621296728,-0.40660801404947017,0.35712407669482227
Capacity,0.5563255946279376,0.5330333036872048,0.3642881332120444,0.317213899347229,-0.0813963175548702,1.0,-0.12701633322369568,0.31659060983189335,0.5202990554391178,0.09933775736578962
WTI,0.47845327343770183,0.5756116697222906,0.7288289402507373,0.5978632497748632,0.7887205636113211,-0.12701633322369568,1.0,-0.29323815984958146,-0.4105934869311711,0.17477453308500268
Auto Prod,-0.5693994223327523,-0.6297894668863192,-0.5965093637468328,-0.6916962064468055,-0.622540621296728,0.31659060983189335,-0.29323815984958146,1.0,0.22232800485078205,0.009457962610838786
Housing,0.6318136630092495,0.7356288578529717,0.5167977889419336,0.6683639714750264,-0.40660801404947017,0.5202990554391178,-0.4105934869311711,0.22232800485078205,1.0,0.16168481000623186
ISM PMI,0.4844084198844544,0.40107210320566755,-0.1274645947220669,0.22935117910489236,0.35712407669482227,0.09933775736578962,0.17477453308500268,0.009457962610838786,0.16168481000623186,1.0
