date,value
2000-01-01,99.9
2000-02-01,99.9
2000-03-01,101.9
2000-04-01,100.8
2000-05-01,100.7
2000-06-01,100.2
2000-07-01,99.7
2000-08-01,99.9
2000-09-01,100.7
2000-10-01,98.9
2000-11-01,98.4
2000-12-01,99.2
2001-01-01,99.5
2001-02-01,96.5
2001-03-01,97.7
2001-04-01,99.6
2001-05-01,98.8
2001-06-01,98.7
2001-07-01,99.2
2001-08-01,99.1
2001-09-01,98.7
2001-10-01,98.6
2001-11-01,98.5
2001-12-01,97.1
2002-01-01,97.0
2002-02-01,95.4
2002-03-01,95.8
2002-04-01,95.6
2002-05-01,94.9
2002-06-01,95.1
2002-07-01,94.4
2002-08-01,94.7
2002-09-01,95.1
2002-10-01,95.3
2002-11-01,95.3
2002-12-01,95.2
2003-01-01,95.3
2003-02-01,95.5
2003-03-01,95.3
2003-04-01,95.1
2003-05-01,95.2
2003-06-01,95.1
2003-07-01,95.9
2003-08-01,99.1
2003-09-01,98.8
2003-10-01,98.8
2003-11-01,100.2
2003-12-01,101.1
2004-01-01,102.7
2004-02-01,104.7
2004-03-01,106.4
2004-04-01,109.6
2004-05-01,111.3
2004-06-01,112.4
2004-07-01,115.7
2004-08-01,117.6
2004-09-01,118.6
2004-10-01,118.0
2004-11-01,117.7
2004-12-01,120.2
2005-01-01,118.7
2005-02-01,118.4
2005-03-01,121.2
2005-04-01,123.4
2005-05-01,122.9
2005-06-01,123.7
2005-07-01,123.5
2005-08-01,123.4
2005-09-01,123.4
2005-10-01,125.6
2005-11-01,124.4
2005-12-01,122.9
2006-01-01,122.3
2006-02-01,121.0
2006-03-01,121.9
2006-04-01,123.4
2006-05-01,125.1
2006-06-01,127.9
2006-07-01,130.3
2006-08-01,130.2
2006-09-01,128.7
2006-10-01,129.1
2006-11-01,128.0
2006-12-01,128.5
2007-01-01,127.7
2007-02-01,130.1
2007-03-01,130.4
2007-04-01,131.7
2007-05-01,133.3
2007-06-01,135.2
2007-07-01,136.6
2007-08-01,138.9
2007-09-01,139.6
2007-10-01,141.4
2007-11-01,141.9
2007-12-01,143.8
2008-01-01,147.2
2008-02-01,150.1
2008-03-01,157.9
2008-04-01,165.5
2008-05-01,175.3
2008-06-01,181.9
2008-07-01,185.5
2008-08-01,183.8
2008-09-01,181.9
2008-10-01,179.4
2008-11-01,172.2
2008-12-01,165.3
2009-01-01,157.6
2009-02-01,152.6
2009-03-01,145.3
2009-04-01,140.0
2009-05-01,137.2
2009-06-01,132.8
2009-07-01,132.2
2009-08-01,134.4
2009-09-01,133.8
2009-10-01,133.9
2009-11-01,137.5
2009-12-01,138.7
2010-01-01,140.2
2010-02-01,139.9
2010-03-01,143.7
2010-04-01,146.7
2010-05-01,146.7
2010-06-01,147.7
2010-07-01,148.1
2010-08-01,148.3
2010-09-01,149.6
2010-10-01,151.7
2010-11-01,151.6
2010-12-01,151.0
2011-01-01,152.2
2011-02-01,152.8
2011-03-01,154.9
2011-04-01,157.5
2011-05-01,160.1
2011-06-01,160.6
2011-07-01,162.6
2011-08-01,163.3
2011-09-01,162.9
2011-10-01,162.6
2011-11-01,162.4
2011-12-01,161.7
2012-01-01,161.6
2012-02-01,163.2
2012-03-01,163.3
2012-04-01,163.4
2012-05-01,163.0
2012-06-01,162.4
2012-07-01,163.0
2012-08-01,161.2
2012-09-01,158.6
2012-10-01,159.3
2012-11-01,158.6
2012-12-01,158.2
2013-01-01,156.6
2013-02-01,154.8
2013-03-01,155.5
2013-04-01,155.4
2013-05-01,155.5
2013-06-01,155.4
2013-07-01,154.1
2013-08-01,154.0
2013-09-01,154.7
2013-10-01,155.1
2013-11-01,153.9
2013-12-01,154.1
2014-01-01,152.4
2014-02-01,152.4
2014-03-01,154.6
2014-04-01,152.9
2014-05-01,155.0
2014-06-01,155.9
2014-07-01,155.8
2014-08-01,156.7
2014-09-01,156.9
2014-10-01,156.8
2014-11-01,156.6
2014-12-01,155.9
2015-01-01,154.9
2015-02-01,154.1
2015-03-01,154.2
2015-04-01,153.2
2015-05-01,153.8
2015-06-01,150.3
2015-07-01,149.6
2015-08-01,148.8
2015-09-01,147.3
2015-10-01,144.3
2015-11-01,142.2
2015-12-01,141.2
2016-01-01,139.2
2016-02-01,138.2
2016-03-01,137.0
2016-04-01,137.0
2016-05-01,136.8
2016-06-01,136.3
2016-07-01,137.5
2016-08-01,137.2
2016-09-01,137.0
2016-10-01,135.1
2016-11-01,136.2
2016-12-01,137.3
2017-01-01,137.9
2017-02-01,139.3
2017-03-01,139.7
2017-04-01,145.2
2017-05-01,146.5
2017-06-01,147.8
2017-07-01,149.2
2017-08-01,150.2
2017-09-01,152.5
2017-10-01,156.3
2017-11-01,157.4
2017-12-01,159.4
2018-01-01,165.6
2018-02-01,166.3
2018-03-01,167.6
2018-04-01,164.0
2018-05-01,164.7
2018-06-01,166.7
2018-07-01,166.8
2018-08-01,165.9
2018-09-01,164.8
2018-10-01,163.7
2018-11-01,163.2
2018-12-01,162.9
2019-01-01,160.2
2019-02-01,157.7
2019-03-01,157.4
2019-04-01,156.7
2019-05-01,155.1
2019-06-01,154.0
2019-07-01,153.2
2019-08-01,153.4
2019-09-01,152.9
2019-10-01,150.4
2019-11-01,149.8
2019-12-01,149.5
2020-01-01,151.0
2020-02-01,151.8
2020-03-01,151.8
2020-04-01,151.1
2020-05-01,150.8
2020-06-01,151.1
2020-07-01,152.5
2020-08-01,153.3
2020-09-01,153.6
2020-10-01,153.4
2020-11-01,154.6
2020-12-01,158.1
2021-01-01,162.2
2021-02-01,166.6
2021-03-01,177.2
2021-04-01,191.1
2021-05-01,198.3
2021-06-01,203.3
2021-07-01,225.6
2021-08-01,227.5
2021-09-01,229.3
2021-10-01,236.7
2021-11-01,237.5
2021-12-01,239.3
2022-01-01,240.8
2022-02-01,241.9
2022-03-01,244.1
2022-04-01,238.7
2022-05-01,240.5
2022-06-01,217.1
2022-07-01,215.3
2022-08-01,217.3
2022-09-01,215.9
2022-10-01,202.6
2022-11-01,209.2
2022-12-01,208.5
2023-01-01,203.4
2023-02-01,203.0
2023-03-01,204.7
2023-04-01,204.6
2023-05-01,204.8
2023-06-01,201.6
2023-07-01,209.1
2023-08-01,206.5
2023-09-01,197.7
2023-10-01,194.7
2023-11-01,194.8
2023-12-01,193.4
2024-01-01,194.1
2024-02-01,193.4
2024-03-01,192.3
2024-04-01,194.1
2024-05-01,193.1
2024-06-01,193.6
2024-07-01,191.5
2024-08-01,191.8
2024-09-01,191.9
2024-10-01,191.1
2024-11-01,190.7
2024-12-01,190.4
2025-01-01,190.3
2025-02-01,189.9
2025-03-01,181.9
2025-04-01,183.5
2025-05-01,181.2
2025-06-01,181.6
2025-07-01,177.4
2025-08-01,175.7
2025-09-01,175.9
2025-10-01,175.3
2025-11-01,173.6
